Incident_ID,Offense,Zipcode
74927,SUSPICIOUS PERSON,27514
74782,LOUD MUSIC/PARTY,27514
74950,SUSPICIOUS PERSON,27514
74518,GRAFFITI VANDALISM,27517
75104,UNAUTHORIZED USE OF CONVEYANCE,27516
74868,LARCENY- ALL OTHER,27516
74926,WELL BEING CHECK,27517
74798,RESISTING ARREST,27516
74956,DRIVING WHILE IMPAIRED,27514
74519,DISPUTE,27514
74539,SUSPICIOUS CONDITION,27514
75070,B&E RESIDENCE-FORCE,27514
74930,DOMESTIC ASSISTANCE,27514
74786,B&E LARCENY F/VEHICLE,27514
74525,ASSIST EMS,27707
74931,DOMESTIC SIMPLE ASSAULT,27516
75074,LOUD MUSIC/PARTY,27516
74789,AUTOMOBILE THEFT,27516
74527,ASSIST OTHER AGENCY,27516
74929,LARCENY,27514
75115,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27517
74952,LARCENY- ALL OTHER,27514
75072,DRUG VIOLATIONS,27514
74516,SECURITY SURVEY,27514
74932,FORCIBLE RAPE,27514
74797,B&E LARCENY F/VEHICLE,27514
74951,SUSPICIOUS PERSON,27514
75073,PANHANDLING/LOITERING,27514
74531,SUSPICIOUS CONDITION,27514
74517,ASSIST OTHER AGENCY,27514
74935,TRESPASSING,27514
74790,DOMESTIC DISTURBANCE/NO ASSAULT,27517
75049,INFORMATION,27514
75084,LARCENY- ALL OTHER,27514
74234,INFORMATION,27514
74529,B&E RESIDENCE NO FORCE,27514
74792,SUSPICIOUS VEHICLE,27516
74944,B&E BUSINESS-FORCE,27517
81672,INFORMATION,27516
74958,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
75108,REFUSE TO LEAVE,27514
75080,UNAUTHORIZED USE OF CONVEYANCE,27516
74544,SUSPICIOUS PERSON,27514
74546,VERBAL DISTURBANCE,27516
74934,FORGERY- USING/UTTERING,27516
74957,ASSAULT,27514
74788,SUSPICIOUS,27514
75077,CALL FOR SERVICE-UNFOUNDED,27707
74528,TRESPASSING,27514
74657,LARCENY- ALL OTHER,27514
74942,INFORMATION,27514
75340,WEAPON ON SCHOOL PROPERTY,27514
74795,LARCENY-SHOPLIFTING,27514
75083,FOUND PROPERTY,27514
74530,DAMAGE TO VEHICLE,27514
75116,UNAUTHORIZED USE OF CONVEYANCE,27514
74959,PHYSICAL SIMPLE ASSAULT-NON AGGRAVATED,27514
74960,FORGERY- USING/UTTERING,27516
74796,LARCENY- ALL OTHER,27514
81675,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27516
75076,B&E RESIDENCE NO FORCE,27516
74533,UNDERAGE POSSESSION,27514
74933,TRESPASSING,27514
74964,VOLUNTARY MENTAL COMMITMENT,27516
74793,LARCENY-SHOPLIFTING,27514
74943,B&E LARCENY F/VEHICLE,27517
75078,INFORMATION,27514
75133,SIMPLE ASSAULT-OTHER,27516
74654,LOST PROPERTY,27516
74962,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74794,RECOVERY OF STOLEN PROPERTY FROM UNKNOWN LOCATION,27514
74955,SIMPLE POSSESSION MARIJUANA,27517
75079,LOUD MUSIC,27514
75111,SUSPICIOUS CONDITION,27514
74559,DISTURBING THE PEACE,27516
74961,B&E RESIDENCE-FORCE,27517
74802,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74936,DRUG VIOLATIONS,27514
75096,B&E LARCENY F/VEHICLE,27514
74543,LARCENY- ALL OTHER,27514
74351,LARCENY- ALL OTHER,27514
74967,ASSIST OTHER AGENCY,27514
74939,INFORMATION,27516
74812,SHOPLIFTING,27514
74938,B&E LARCENY F/VEHICLE,27517
75165,B&E LARCENY F/VEHICLE,27514
74153,B&E RESIDENCE-FORCE,27514
74966,INFORMATION,27514
75081,ASSAULT ON FEMALE,27514
74557,B&E RESIDENCE NO FORCE,27514
74981,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75114,INFORMATION,27514
74953,DAMAGE TO VEHICLE,27514
74800,FIGHTING/ AFFRAY,27514
75082,B&E LARCENY F/VEHICLE,27514
74716,LARCENY- ALL OTHER,27514
74963,TRESPASSING,27516
74545,DISTURBING THE PEACE,27516
74937,B&E RESIDENCE NO FORCE,27514
74801,BURGLARY-NO FORCE,27516
75089,B&E LARCENY F/VEHICLE,27517
74350,FIGHTING/ AFFRAY,27516
74965,DRUNK AND DISRUPTIVE,27514
75122,INFORMATION,27514
74945,LARCENY FROM MOTOR VEHICLE,27514
75248,LARCENY OF WALLET,27514
74799,ASSAULT-OTHER,27516
74968,INFORMATION,27516
75085,B&E LARCENY F/VEHICLE,27517
74940,LARCENY-SHOPLIFTING,27514
75113,DISTURBING THE PEACE,27516
74558,TRESPASSING,27516
74947,B&E RESIDENCE-FORCE,27514
74804,AUTOMOBILE THEFT,27514
74535,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75086,FOUND PROPERTY,<Null>
74969,INJURED ANIMAL,27514
74720,JUVENILE ASSAULT,27517
74946,SUSPICIOUS CONDITION,27517
74803,INFORMATION,27514
75123,MOLESTATION,27517
74976,DISTURBING THE PEACE,27516
75088,INFORMATION,27514
74658,ASSIST OTHER AGENCY,27514
74954,CHILD NEGLECT (NO ASSAULT),27516
74816,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27517
75112,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74975,BOMB THREAT,27514
75090,SIMPLE ASSAULT-OTHER,27514
74852,SIMPLE ASSAULT-OTHER,27516
76126,LARCENY- ALL OTHER,27516
74948,LOST PROPERTY,27514
75087,LARCENY-SHOPLIFTING,27514
74556,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27517
74974,HARASSING PHONE CALLS-NO THREATS,27517
74534,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74421,TRESPASSING,27514
74813,B&E RESIDENCE-FORCE,27517
75091,OVERDOSE,27514
74941,K-9 SNIFF,27516
75125,PRECIOUS METAL PERMIT,27516
74971,SECURITY SURVEY,27517
74152,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74811,B&E RESIDENCE-FORCE,27516
75093,ALARM,27514
74855,B&E RESIDENCE NO FORCE,27517
75134,LARCENY- ALL OTHER,27514
74970,COMMUNITY OUTREACH,27514
74352,ASSAULT WITH A DEADLY WEAPON,27514
74809,INFORMATION,27514
75092,INFORMATION,27514
74240,LARCENY- ALL OTHER,27514
75129,THREATENING PHONE CALLS,27517
75131,FRAUD-ALL OTHER,27516
75127,FOUND PROPERTY,27514
75124,COMMUNITY OUTREACH,27516
75148,LARCENY FROM AUTO /PARTS AND ACCESSORIES,27516
75136,B&E RESIDENCE NO FORCE,27517
75145,LARCENY BY EMPLOYEE,27516
75130,B&E VEH (ATT LAR F/VEH),27516
75132,LOST PROPERTY,27514
75135,INFORMATION,27510
75137,DISTURBING THE PEACE,27517
75169,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75140,ATTEMPT TO SERVE INVOLUNTARY COMMITMENT PAPERS,27514
75143,POSSESSION MARIJUANA,27514
75138,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
75139,OPEN DOOR,27514
75142,INFORMATION,27514
75150,DISTURBANCE,27516
75141,FIGHTING/ AFFRAY,27514
75146,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
75144,B&E LARCENY F/VEHICLE,27516
75149,B&E RESIDENCE-FORCE,27514
75147,LARCENY- ALL OTHER,27516
75172,B&E RESIDENCE-FORCE,27516
75152,INFORMATION,27514
75155,DISTURBANCE,27514
75160,DAMAGE TO PROPERTY(NON-CRIMINAL),27514
75153,INFORMATION/ALCOHOL OPERATION,27514
75151,LOST PROPERTY,27514
74873,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74875,ROAD RAGE,27514
74676,TRESPASSING,27514
